               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11816,            0.027611,            0.028967,          0.00092855,             0.09725,           0.0013734,           0.0003284,             0.10787,            0.024195,            0.019098,             0.07016,           0.0033155,           0.0033155
                   1,             0.10624,            0.024653,            0.019238,             0.79696,             0.05052,            0.022882,           0.0062906,            0.097131,            0.022676,            0.016772,            0.040128,           0.0066159,           0.0066159
                   2,            0.099174,            0.024107,             0.01682,             0.58704,            0.081181,            0.039409,            0.010598,             0.09839,            0.022929,            0.014912,            0.010062,           0.0098834,           0.0098834
                   3,            0.093544,             0.02378,            0.015159,             0.16024,             0.16511,            0.084007,            0.026758,            0.087002,            0.024851,            0.013787,           0.0098515,           0.0098515,           0.0098515
                   4,            0.090598,            0.024157,            0.014418,             0.13631,             0.14563,            0.088839,            0.033385,            0.084674,            0.023149,            0.012953,           0.0098515,           0.0098515,           0.0098515
                   5,            0.088827,            0.024416,            0.013369,             0.17095,             0.15984,             0.10589,            0.038873,            0.083987,            0.024364,            0.013929,            0.009802,            0.009802,            0.009802
                   6,            0.087166,            0.023148,            0.012895,             0.18894,             0.17663,             0.10703,            0.035807,            0.083057,            0.022787,            0.012834,           0.0097525,           0.0097525,           0.0097525
                   7,            0.085832,            0.023695,            0.012415,             0.24885,             0.19203,             0.13183,            0.042982,            0.081587,            0.023261,            0.012131,            0.009703,            0.009703,            0.009703
                   8,            0.086039,              0.0238,            0.012171,             0.18142,             0.18831,              0.1119,             0.03962,            0.081515,            0.023274,            0.012747,           0.0096535,           0.0096535,           0.0096535
                   9,             0.08429,            0.023492,             0.01188,             0.19634,             0.17059,             0.12863,            0.047683,            0.079578,            0.023212,            0.011495,            0.009604,            0.009604,            0.009604
                  10,            0.084057,            0.023905,            0.011044,             0.22666,             0.19097,             0.12745,            0.045156,            0.079654,            0.023298,            0.011833,           0.0095545,           0.0095545,           0.0095545
                  11,            0.083424,            0.023425,            0.011753,             0.26056,             0.16972,             0.12533,            0.044037,            0.080496,            0.023528,            0.011864,            0.009505,            0.009505,            0.009505
                  12,            0.083601,            0.023995,            0.011383,             0.24486,             0.16659,             0.12682,            0.042087,             0.07954,            0.023298,            0.011432,           0.0094555,           0.0094555,           0.0094555
                  13,            0.082728,            0.024329,            0.010881,             0.19306,             0.20719,             0.12504,            0.044932,            0.079593,             0.02291,            0.011512,            0.009406,            0.009406,            0.009406
                  14,             0.08243,            0.024117,            0.010194,             0.28697,             0.17462,             0.14676,            0.053507,            0.079147,            0.023082,            0.011509,           0.0093565,           0.0093565,           0.0093565
                  15,            0.081575,            0.023765,            0.010156,             0.26116,             0.20047,             0.14457,            0.049877,             0.07938,            0.023519,            0.012212,            0.009307,            0.009307,            0.009307
                  16,            0.081629,            0.023379,            0.010051,             0.22662,             0.20403,             0.13594,            0.045552,            0.078981,            0.023347,            0.012422,           0.0092575,           0.0092575,           0.0092575
                  17,            0.081042,            0.023183,           0.0096878,             0.28159,             0.20892,             0.15434,            0.052981,            0.077859,            0.022915,            0.011622,            0.009208,            0.009208,            0.009208
                  18,            0.081102,            0.023256,           0.0097635,              0.2775,             0.19278,             0.14705,            0.054941,            0.078535,            0.023139,            0.011771,           0.0091585,           0.0091585,           0.0091585
                  19,             0.08061,            0.023191,           0.0094564,             0.29627,             0.18173,             0.15603,            0.056856,              0.0776,            0.022909,            0.011024,            0.009109,            0.009109,            0.009109
                  20,            0.079802,            0.022769,           0.0093283,             0.34258,             0.20045,             0.16314,            0.058072,            0.079296,             0.02309,            0.011833,           0.0090595,           0.0090595,           0.0090595
                  21,            0.079867,             0.02333,           0.0092831,             0.30794,             0.20553,             0.15364,            0.059371,            0.077836,            0.022936,            0.012488,             0.00901,             0.00901,             0.00901
                  22,            0.079695,            0.022826,           0.0093169,             0.21985,              0.2092,             0.15187,            0.056706,            0.078145,            0.023239,             0.01181,           0.0089605,           0.0089605,           0.0089605
                  23,            0.079684,            0.023228,           0.0088514,             0.31775,             0.17617,             0.15691,            0.054155,            0.078451,            0.023276,            0.012374,            0.008911,            0.008911,            0.008911
                  24,            0.079989,            0.023052,           0.0091986,             0.27271,             0.19671,             0.14772,            0.053597,            0.076748,            0.023075,            0.011198,           0.0088615,           0.0088615,           0.0088615
                  25,            0.079204,             0.02265,           0.0086219,             0.25848,              0.2002,             0.15549,            0.055486,            0.078484,            0.023193,            0.012215,            0.008812,            0.008812,            0.008812
                  26,            0.078459,            0.022745,           0.0086687,             0.34865,             0.19978,             0.17338,            0.065915,            0.077371,            0.022991,            0.011969,           0.0087625,           0.0087625,           0.0087625
                  27,            0.078139,            0.023167,           0.0078579,             0.26032,             0.22504,             0.15943,            0.057834,            0.077176,            0.023157,            0.011718,            0.008713,            0.008713,            0.008713
                  28,            0.078033,            0.022784,           0.0082662,             0.32998,             0.20193,             0.17624,            0.059271,            0.076656,             0.02333,            0.011337,           0.0086635,           0.0086635,           0.0086635
                  29,            0.077966,            0.022799,            0.007645,             0.30264,             0.21843,             0.16973,             0.05639,            0.077251,            0.023067,            0.011642,            0.008614,            0.008614,            0.008614
                  30,            0.077134,            0.022951,           0.0076024,             0.31728,             0.21433,              0.1818,            0.069475,            0.076973,            0.023278,            0.011983,           0.0085645,           0.0085645,           0.0085645
                  31,            0.076696,            0.023374,           0.0077243,              0.3333,             0.20196,             0.18271,            0.067539,            0.077162,            0.023005,            0.011584,            0.008515,            0.008515,            0.008515
                  32,            0.076253,            0.023193,           0.0073408,             0.32137,             0.21388,             0.17483,            0.062838,             0.07694,            0.023279,            0.011154,           0.0084655,           0.0084655,           0.0084655
                  33,            0.076299,            0.022602,           0.0074196,             0.25623,              0.2306,             0.15451,            0.055347,              0.0773,              0.0233,            0.011894,            0.008416,            0.008416,            0.008416
                  34,            0.075966,            0.022377,           0.0068715,             0.34865,             0.20747,             0.16399,            0.056888,            0.077066,             0.02313,            0.011474,           0.0083665,           0.0083665,           0.0083665
                  35,            0.075717,            0.022597,           0.0073613,             0.25721,             0.23858,              0.1667,            0.059621,             0.07657,            0.023345,            0.012217,            0.008317,            0.008317,            0.008317
                  36,            0.076449,            0.022907,           0.0068344,             0.26923,             0.19785,             0.15593,             0.05992,            0.076182,            0.023291,            0.011696,           0.0082675,           0.0082675,           0.0082675
                  37,            0.075599,            0.023137,           0.0069795,             0.28107,             0.23252,             0.16821,            0.060104,            0.076387,            0.023429,             0.01178,            0.008218,            0.008218,            0.008218
                  38,            0.075659,            0.022693,           0.0070474,             0.32343,             0.20628,             0.17096,            0.060379,            0.077384,            0.023403,             0.01182,           0.0081685,           0.0081685,           0.0081685
                  39,            0.075512,            0.022458,           0.0068593,             0.24607,             0.23298,             0.17447,            0.065102,            0.076863,            0.023262,            0.012219,            0.008119,            0.008119,            0.008119
                  40,            0.075146,             0.02276,           0.0066968,             0.29934,               0.205,             0.17045,            0.063162,            0.077201,            0.023555,            0.011888,           0.0080695,           0.0080695,           0.0080695
                  41,            0.074312,            0.022647,           0.0065989,             0.30841,              0.2122,             0.17452,            0.064147,            0.076989,            0.023702,            0.011483,             0.00802,             0.00802,             0.00802
                  42,            0.074489,            0.021618,           0.0064691,              0.2574,             0.22961,             0.17122,            0.064613,             0.07705,            0.023432,             0.01204,           0.0079705,           0.0079705,           0.0079705
                  43,            0.074359,            0.021581,            0.006563,             0.26981,             0.17794,             0.14975,            0.053166,            0.077205,            0.024084,            0.012771,            0.007921,            0.007921,            0.007921
                  44,            0.074518,            0.023049,           0.0062853,             0.28449,             0.21912,             0.17447,            0.065057,            0.076442,             0.02348,            0.012216,           0.0078715,           0.0078715,           0.0078715
                  45,            0.073425,            0.022089,           0.0059323,             0.37938,             0.19106,             0.16634,             0.06201,            0.075971,            0.023497,            0.012421,            0.007822,            0.007822,            0.007822
                  46,            0.073541,            0.022027,           0.0058676,              0.3148,             0.21087,             0.17909,            0.066587,             0.07627,            0.023375,            0.012677,           0.0077725,           0.0077725,           0.0077725
                  47,            0.072462,            0.022023,            0.006118,             0.26892,             0.21474,             0.16346,            0.062678,            0.076709,            0.023639,            0.012637,            0.007723,            0.007723,            0.007723
                  48,            0.073196,            0.021832,           0.0057469,             0.29363,             0.24683,              0.1679,            0.061952,            0.077023,            0.023635,             0.01217,           0.0076735,           0.0076735,           0.0076735
                  49,            0.072582,             0.02143,           0.0058912,             0.34617,             0.22766,             0.17466,            0.062961,             0.07603,            0.023558,            0.013395,            0.007624,            0.007624,            0.007624
                  50,            0.072412,            0.021742,           0.0057747,             0.34805,             0.22044,             0.18862,            0.064994,            0.076111,             0.02363,            0.012648,           0.0075745,           0.0075745,           0.0075745
                  51,            0.072392,            0.021832,           0.0059314,             0.33108,              0.2227,             0.18302,            0.068648,            0.076977,             0.02356,            0.013154,            0.007525,            0.007525,            0.007525
                  52,            0.072032,            0.022341,           0.0057921,              0.3156,             0.21889,             0.18601,            0.069989,            0.077267,            0.023959,            0.012571,           0.0074755,           0.0074755,           0.0074755
                  53,            0.071662,            0.022177,           0.0056003,             0.32789,             0.19959,             0.18261,            0.067037,            0.077078,            0.023757,             0.01219,            0.007426,            0.007426,            0.007426
                  54,            0.071157,            0.021616,           0.0054195,             0.31386,             0.23019,             0.18231,            0.071796,            0.076973,            0.023818,            0.012487,           0.0073765,           0.0073765,           0.0073765
                  55,            0.071038,            0.021921,           0.0052549,             0.34105,             0.21756,             0.17847,            0.071465,            0.076738,            0.023829,            0.012804,            0.007327,            0.007327,            0.007327
                  56,            0.070867,            0.021152,           0.0054073,             0.31752,             0.19338,             0.16776,            0.061196,            0.076505,            0.023215,            0.012797,           0.0072775,           0.0072775,           0.0072775
                  57,            0.071182,            0.021844,           0.0053068,             0.33454,             0.20738,             0.17841,            0.068754,            0.076111,            0.023464,            0.012712,            0.007228,            0.007228,            0.007228
                  58,            0.070446,            0.021415,           0.0050853,             0.38554,             0.21237,             0.18792,            0.069552,            0.077217,            0.023875,            0.013539,           0.0071785,           0.0071785,           0.0071785
                  59,            0.069909,            0.020806,           0.0050049,             0.34141,             0.21142,             0.17585,            0.066428,            0.076666,            0.023733,            0.013292,            0.007129,            0.007129,            0.007129
                  60,             0.07095,            0.021417,           0.0050064,              0.3279,             0.24935,             0.19539,            0.077758,            0.076995,            0.024106,            0.013219,           0.0070795,           0.0070795,           0.0070795
                  61,            0.069761,             0.02128,           0.0050752,             0.37007,             0.22172,             0.18237,            0.072171,             0.07671,            0.023634,            0.013347,             0.00703,             0.00703,             0.00703
                  62,             0.06977,            0.021239,           0.0049377,             0.36778,             0.21536,             0.18432,              0.0727,            0.076476,            0.024051,            0.012624,           0.0069805,           0.0069805,           0.0069805
                  63,            0.069887,            0.021318,           0.0048385,              0.3944,              0.2186,             0.18029,            0.068239,             0.07677,            0.023807,            0.013122,            0.006931,            0.006931,            0.006931
                  64,            0.069381,             0.02114,           0.0047491,             0.38892,             0.21537,             0.18798,            0.069283,            0.076433,            0.023848,            0.013195,           0.0068815,           0.0068815,           0.0068815
                  65,            0.068683,            0.021048,           0.0046365,             0.33026,             0.22916,             0.17861,            0.066724,            0.076154,            0.024032,            0.013286,            0.006832,            0.006832,            0.006832
                  66,            0.068982,            0.021805,           0.0045914,             0.30124,               0.208,             0.15968,            0.059275,            0.077173,            0.024187,            0.014097,           0.0067825,           0.0067825,           0.0067825
                  67,            0.068414,            0.021441,           0.0044843,             0.37341,             0.21191,             0.18429,            0.071594,            0.077511,            0.024306,            0.014655,            0.006733,            0.006733,            0.006733
                  68,            0.068511,            0.021346,           0.0044455,             0.33491,             0.22994,             0.17768,            0.064741,            0.076483,            0.024407,            0.013747,           0.0066835,           0.0066835,           0.0066835
                  69,            0.068602,            0.021302,           0.0045588,             0.38693,             0.21174,             0.18392,             0.06999,            0.076662,            0.024226,            0.014046,            0.006634,            0.006634,            0.006634
                  70,            0.068051,            0.020699,           0.0044218,             0.33435,             0.23252,             0.19106,            0.068377,            0.076333,            0.024033,             0.01234,           0.0065845,           0.0065845,           0.0065845
                  71,            0.068111,            0.020676,           0.0044725,             0.41147,             0.19531,             0.17986,            0.066057,            0.076087,            0.024176,            0.013391,            0.006535,            0.006535,            0.006535
                  72,            0.067494,            0.021049,           0.0043254,             0.37138,             0.19168,             0.17489,            0.067857,            0.077162,            0.024339,             0.01355,           0.0064855,           0.0064855,           0.0064855
                  73,            0.067101,             0.02089,           0.0039427,             0.36649,             0.20788,             0.17841,            0.070393,            0.076785,            0.024239,            0.013769,            0.006436,            0.006436,            0.006436
                  74,            0.066845,            0.020799,           0.0041346,             0.36677,             0.19663,             0.17288,            0.066407,            0.076294,            0.024328,             0.01331,           0.0063865,           0.0063865,           0.0063865
                  75,            0.066988,            0.020577,           0.0043233,             0.35854,             0.20046,             0.18097,            0.066925,            0.076591,            0.024289,            0.014296,            0.006337,            0.006337,            0.006337
                  76,            0.066825,            0.021019,           0.0043234,             0.39735,             0.19128,             0.17575,            0.066672,            0.076635,            0.024502,            0.013306,           0.0062875,           0.0062875,           0.0062875
                  77,            0.066584,            0.020006,           0.0040588,             0.32585,             0.21423,              0.1794,            0.067525,            0.077014,            0.024571,            0.013968,            0.006238,            0.006238,            0.006238
                  78,            0.066277,            0.020286,           0.0042023,             0.32337,              0.2033,             0.16918,            0.065992,            0.077027,            0.024998,            0.013789,           0.0061885,           0.0061885,           0.0061885
                  79,            0.065492,            0.020094,           0.0039949,             0.29547,             0.20916,             0.18052,            0.068754,            0.076544,            0.024798,            0.013611,            0.006139,            0.006139,            0.006139
                  80,            0.066478,            0.020407,           0.0038787,             0.29965,             0.22124,             0.17414,            0.064621,             0.07649,            0.024865,            0.013576,           0.0060895,           0.0060895,           0.0060895
                  81,            0.066042,            0.020133,           0.0040358,             0.34982,              0.2173,             0.19198,            0.076717,            0.076621,            0.024874,            0.014101,             0.00604,             0.00604,             0.00604
                  82,            0.065675,            0.020965,           0.0042023,             0.36403,             0.21801,             0.17441,            0.067819,            0.076637,            0.024604,            0.014093,           0.0059905,           0.0059905,           0.0059905
                  83,            0.065134,            0.020258,           0.0037756,             0.33192,               0.204,             0.17494,            0.066432,            0.076439,            0.024842,            0.014602,            0.005941,            0.005941,            0.005941
                  84,            0.065277,            0.020195,           0.0038914,             0.27576,             0.21887,             0.16674,            0.066568,            0.077327,            0.024749,            0.014468,           0.0058915,           0.0058915,           0.0058915
                  85,            0.064553,            0.020268,           0.0036673,             0.38706,             0.20984,             0.17623,            0.068042,            0.077266,            0.025163,            0.014389,            0.005842,            0.005842,            0.005842
                  86,            0.065013,            0.020003,           0.0037639,             0.34534,             0.22419,             0.17824,             0.06739,             0.07687,            0.025193,             0.01383,           0.0057925,           0.0057925,           0.0057925
                  87,            0.064682,             0.02042,           0.0040774,               0.394,             0.22657,             0.19978,            0.078697,            0.076501,            0.024591,            0.014101,            0.005743,            0.005743,            0.005743
                  88,            0.064441,            0.019599,           0.0035553,             0.38429,             0.22032,             0.18778,            0.066379,            0.076707,            0.024935,            0.014453,           0.0056935,           0.0056935,           0.0056935
                  89,              0.0642,            0.020138,           0.0037054,             0.32233,             0.21158,             0.16256,             0.06222,            0.077318,             0.02491,            0.014556,            0.005644,            0.005644,            0.005644
                  90,            0.063485,            0.019264,           0.0036494,             0.32292,             0.23133,             0.17837,            0.067969,            0.077804,            0.024916,            0.014945,           0.0055945,           0.0055945,           0.0055945
                  91,            0.063836,            0.020142,           0.0037174,             0.37443,             0.21546,             0.18063,            0.067393,            0.077319,            0.025213,            0.014596,            0.005545,            0.005545,            0.005545
                  92,            0.063004,            0.019942,           0.0033528,              0.3378,             0.21073,             0.18554,            0.066571,             0.07709,            0.025059,            0.014492,           0.0054955,           0.0054955,           0.0054955
